Iteration=0, Total Loss: 421.95660400390625
Iteration=1540, Total Loss: 5.728860378265381
Iteration=1550, Total Loss: 5.798621654510498
Iteration=1560, Total Loss: 6.317368984222412
Iteration=1570, Total Loss: 5.525197505950928
Iteration=1580, Total Loss: 5.412118434906006
Iteration=1590, Total Loss: 5.417320251464844
Iteration=1600, Total Loss: 5.812753200531006
Iteration=1610, Total Loss: 5.794060707092285
Iteration=1620, Total Loss: 4.767087936401367
Iteration=1630, Total Loss: 4.927684307098389
Iteration=1640, Total Loss: 4.610548496246338
Iteration=1650, Total Loss: 5.084392070770264
Iteration=1660, Total Loss: 6.269278049468994
Iteration=1670, Total Loss: 5.732601165771484
Iteration=1680, Total Loss: 4.181817531585693
Iteration=1690, Total Loss: 5.327868461608887
Iteration=1700, Total Loss: 4.999164581298828
Iteration=1710, Total Loss: 5.257998943328857
Iteration=1720, Total Loss: 4.710916519165039
Iteration=1730, Total Loss: 4.849050045013428
Iteration=1740, Total Loss: 4.486639976501465
Iteration=1750, Total Loss: 4.262324333190918
Iteration=1760, Total Loss: 6.460646152496338
Iteration=1770, Total Loss: 4.238958358764648
Iteration=1780, Total Loss: 5.004567623138428
Iteration=1790, Total Loss: 4.589671611785889
Iteration=1800, Total Loss: 4.067892074584961
Iteration=1810, Total Loss: 4.31143856048584
Iteration=1820, Total Loss: 4.8444905281066895
Iteration=1830, Total Loss: 4.188331604003906
Iteration=1840, Total Loss: 4.0808820724487305
Iteration=1850, Total Loss: 4.960546493530273
Iteration=1860, Total Loss: 3.9681429862976074
Iteration=1870, Total Loss: 4.661166191101074
Iteration=1880, Total Loss: 3.3933162689208984
Iteration=1890, Total Loss: 3.984731674194336
Iteration=1900, Total Loss: 3.584042549133301
Iteration=1910, Total Loss: 3.9952292442321777
Iteration=1920, Total Loss: 3.6087584495544434
Iteration=1930, Total Loss: 4.1743083000183105
Iteration=1940, Total Loss: 3.760394811630249
Iteration=1950, Total Loss: 3.989288806915283
Iteration=1960, Total Loss: 3.5754261016845703
Iteration=1970, Total Loss: 4.154463768005371
Iteration=1980, Total Loss: 4.946071147918701
Iteration=1990, Total Loss: 3.6926732063293457
Iteration=2000, Total Loss: 4.142922401428223
Iteration=2010, Total Loss: 3.748944044113159
Iteration=2020, Total Loss: 3.5268607139587402
Iteration=2030, Total Loss: 3.466700553894043
Iteration=2040, Total Loss: 3.4535317420959473
Iteration=2050, Total Loss: 3.220067262649536
Iteration=2060, Total Loss: 3.827220916748047
Iteration=2070, Total Loss: 3.747551441192627
Iteration=2080, Total Loss: 3.7626900672912598
Iteration=2090, Total Loss: 3.2579665184020996
Iteration=2100, Total Loss: 4.013624668121338
Iteration=2110, Total Loss: 2.8665027618408203
Iteration=2120, Total Loss: 3.5757124423980713
Iteration=2130, Total Loss: 3.0512101650238037
Iteration=2140, Total Loss: 3.53354549407959
Iteration=2150, Total Loss: 3.8201165199279785
Iteration=2160, Total Loss: 3.093179225921631
Iteration=2170, Total Loss: 4.088408470153809
Iteration=2180, Total Loss: 3.477970600128174
Iteration=2190, Total Loss: 2.612359046936035
Iteration=2200, Total Loss: 3.893186092376709
Iteration=2210, Total Loss: 3.625584363937378
Iteration=2220, Total Loss: 3.3641293048858643
Iteration=2230, Total Loss: 2.8285071849823
Iteration=2240, Total Loss: 3.2797610759735107
Iteration=2250, Total Loss: 2.634492874145508
Iteration=2260, Total Loss: 2.7108380794525146
Iteration=2270, Total Loss: 3.115664482116699
Iteration=2280, Total Loss: 3.648388385772705
Iteration=2290, Total Loss: 2.854220151901245
Iteration=2300, Total Loss: 2.474881410598755
Iteration=2310, Total Loss: 2.783433437347412
Iteration=2320, Total Loss: 2.758209705352783
Iteration=2330, Total Loss: 3.030280590057373
Iteration=2340, Total Loss: 2.5846900939941406
Iteration=2350, Total Loss: 2.7128090858459473
Iteration=2360, Total Loss: 2.761373519897461
Iteration=2370, Total Loss: 2.8554790019989014
Iteration=2380, Total Loss: 2.8655059337615967
Iteration=2390, Total Loss: 2.485959053039551
Iteration=2400, Total Loss: 2.8954544067382812
Iteration=2410, Total Loss: 3.1093080043792725
Iteration=2420, Total Loss: 2.312121868133545
Iteration=2430, Total Loss: 2.7890443801879883
Iteration=2440, Total Loss: 2.4412314891815186
Iteration=2450, Total Loss: 2.2617573738098145
Iteration=2460, Total Loss: 1.9458777904510498
Iteration=2470, Total Loss: 2.8526196479797363
Iteration=2480, Total Loss: 2.4616098403930664
Iteration=2490, Total Loss: 2.888430118560791
Iteration=2500, Total Loss: 2.2417521476745605
Iteration=2510, Total Loss: 2.5676162242889404
Iteration=2520, Total Loss: 2.7378954887390137
Iteration=2530, Total Loss: 2.2853078842163086
Iteration=2540, Total Loss: 2.5767502784729004
Iteration=2550, Total Loss: 2.118680238723755
Iteration=2560, Total Loss: 2.6521971225738525
Iteration=2570, Total Loss: 2.5675227642059326
Iteration=2580, Total Loss: 1.7540653944015503
Iteration=2590, Total Loss: 2.1427106857299805
Iteration=2600, Total Loss: 2.1555850505828857
Iteration=2610, Total Loss: 1.9912872314453125
Iteration=2620, Total Loss: 2.352776527404785
Iteration=2630, Total Loss: 2.6745526790618896
Iteration=2640, Total Loss: 2.1126067638397217
Iteration=2650, Total Loss: 1.8982622623443604
Iteration=2660, Total Loss: 2.098440647125244
Iteration=2670, Total Loss: 2.1343870162963867
Iteration=2680, Total Loss: 2.011726140975952
Iteration=2690, Total Loss: 2.301842212677002
Iteration=2700, Total Loss: 2.580960750579834
Iteration=2710, Total Loss: 2.5519638061523438
Iteration=2720, Total Loss: 2.0291030406951904
Iteration=2730, Total Loss: 2.2346301078796387
Iteration=2740, Total Loss: 1.6248637437820435
Iteration=2750, Total Loss: 2.269531488418579
Iteration=2760, Total Loss: 1.7252271175384521
Iteration=2770, Total Loss: 2.1150639057159424
Iteration=2780, Total Loss: 1.8675752878189087
Iteration=2790, Total Loss: 2.4817676544189453
Iteration=2800, Total Loss: 1.977431297302246
Iteration=2810, Total Loss: 1.7297585010528564
Iteration=2820, Total Loss: 2.0529937744140625
Iteration=2830, Total Loss: 1.9217727184295654
Iteration=2840, Total Loss: 1.5574986934661865
Iteration=2850, Total Loss: 1.8921452760696411
Iteration=2860, Total Loss: 1.9588814973831177
Iteration=2870, Total Loss: 2.0457868576049805
Iteration=2880, Total Loss: 2.0316147804260254
Iteration=2890, Total Loss: 1.7202677726745605
Iteration=2900, Total Loss: 1.8713198900222778
Iteration=2910, Total Loss: 1.9475613832473755
Iteration=2920, Total Loss: 1.759516716003418
Iteration=2930, Total Loss: 1.8292253017425537
Iteration=2940, Total Loss: 1.7041914463043213
Iteration=2950, Total Loss: 1.7238880395889282
Iteration=2960, Total Loss: 1.6292047500610352
Iteration=2970, Total Loss: 1.584460735321045
Iteration=2980, Total Loss: 2.025160551071167
Iteration=2990, Total Loss: 1.8988564014434814
Iteration=3000, Total Loss: 1.7288198471069336
Iteration=3010, Total Loss: 1.8981273174285889
Iteration=3020, Total Loss: 2.3270246982574463
Iteration=3030, Total Loss: 1.5465853214263916
Iteration=3040, Total Loss: 1.7495795488357544
Iteration=3050, Total Loss: 1.4963985681533813
Iteration=3060, Total Loss: 1.4469268321990967
Iteration=3070, Total Loss: 1.5532169342041016
Iteration=3080, Total Loss: 1.5625001192092896
Iteration=3090, Total Loss: 1.5288007259368896
Iteration=3100, Total Loss: 1.7817795276641846
Iteration=3110, Total Loss: 1.6918344497680664
Iteration=3120, Total Loss: 1.2858986854553223
Iteration=3130, Total Loss: 1.5165071487426758
Iteration=3140, Total Loss: 1.090654969215393
Iteration=3150, Total Loss: 1.2581948041915894
Iteration=3160, Total Loss: 1.4602625370025635
Iteration=3170, Total Loss: 1.4236823320388794
Iteration=3180, Total Loss: 1.2415854930877686
Iteration=3190, Total Loss: 1.5259671211242676
Iteration=3200, Total Loss: 1.2522931098937988
Iteration=3210, Total Loss: 1.3817036151885986
Iteration=3220, Total Loss: 1.4001333713531494
Iteration=3230, Total Loss: 1.4208109378814697
Iteration=3240, Total Loss: 1.396394968032837
Iteration=3250, Total Loss: 1.4558937549591064
Iteration=3260, Total Loss: 1.4259312152862549
Iteration=3270, Total Loss: 1.188960075378418
Iteration=3280, Total Loss: 1.2535016536712646
Iteration=3290, Total Loss: 1.34513258934021
Iteration=3300, Total Loss: 1.3877133131027222
Iteration=3310, Total Loss: 1.1602537631988525
Iteration=3320, Total Loss: 1.6223695278167725
Iteration=3330, Total Loss: 1.6715176105499268
Iteration=3340, Total Loss: 1.5199048519134521
Iteration=3350, Total Loss: 1.2699912786483765
Iteration=3360, Total Loss: 1.6249074935913086
Iteration=3370, Total Loss: 1.136681318283081
Iteration=3380, Total Loss: 1.5371534824371338
Iteration=3390, Total Loss: 1.4653241634368896
Iteration=3400, Total Loss: 1.3139240741729736
Iteration=3410, Total Loss: 1.3103835582733154
Iteration=3420, Total Loss: 1.3021926879882812
Iteration=3430, Total Loss: 1.2007520198822021
Iteration=3440, Total Loss: 1.3097833395004272
Iteration=3450, Total Loss: 1.4243608713150024
Iteration=3460, Total Loss: 1.4738233089447021
Iteration=3470, Total Loss: 1.4599347114562988
Iteration=3480, Total Loss: 1.690874695777893
Iteration=3490, Total Loss: 1.2893482446670532
Iteration=3500, Total Loss: 1.4923450946807861
Iteration=3510, Total Loss: 1.0303854942321777
Iteration=3520, Total Loss: 1.2247788906097412
Iteration=3530, Total Loss: 1.479346513748169
Iteration=3540, Total Loss: 1.3442399501800537
Iteration=3550, Total Loss: 1.2693607807159424
Iteration=3560, Total Loss: 1.2499117851257324
Iteration=3570, Total Loss: 1.3536043167114258
Iteration=3580, Total Loss: 1.2385787963867188
Iteration=3590, Total Loss: 1.266851544380188
Iteration=3600, Total Loss: 1.1283811330795288
Iteration=3610, Total Loss: 1.055882215499878
Iteration=3620, Total Loss: 1.0311129093170166
Iteration=3630, Total Loss: 1.0509049892425537
Iteration=3640, Total Loss: 1.171543002128601
Iteration=3650, Total Loss: 1.387519121170044
Iteration=3660, Total Loss: 1.0606908798217773
Iteration=3670, Total Loss: 1.0761468410491943
Iteration=3680, Total Loss: 1.2200623750686646
Iteration=3690, Total Loss: 1.2672090530395508
Iteration=3700, Total Loss: 0.9440932273864746
Iteration=3710, Total Loss: 1.3962219953536987
Iteration=3720, Total Loss: 1.0602400302886963
Iteration=3730, Total Loss: 1.3766453266143799
Iteration=3740, Total Loss: 1.1097400188446045
Iteration=3750, Total Loss: 0.8399122357368469
Iteration=3760, Total Loss: 1.3023277521133423
Iteration=3770, Total Loss: 0.9324306845664978
Iteration=3780, Total Loss: 0.8991363048553467
Iteration=3790, Total Loss: 0.9445258378982544
Iteration=3800, Total Loss: 0.83500075340271
Iteration=3810, Total Loss: 1.2842682600021362
Iteration=3820, Total Loss: 1.1413178443908691
Iteration=3830, Total Loss: 1.0785326957702637
Iteration=3840, Total Loss: 0.85764479637146
Iteration=3850, Total Loss: 0.9244805574417114
Iteration=3860, Total Loss: 0.8814730644226074
Iteration=3870, Total Loss: 1.2090845108032227
Iteration=3880, Total Loss: 0.9331567287445068
Iteration=3890, Total Loss: 0.7874338626861572
Iteration=3900, Total Loss: 1.1010000705718994
Iteration=3910, Total Loss: 1.0212405920028687
Iteration=3920, Total Loss: 0.9047877788543701
Iteration=3930, Total Loss: 1.1760683059692383
Iteration=3940, Total Loss: 0.891108512878418
Iteration=3950, Total Loss: 1.1789058446884155
Iteration=3960, Total Loss: 0.9911004900932312
Iteration=3970, Total Loss: 1.292395830154419
Iteration=3980, Total Loss: 0.9781133532524109
Iteration=3990, Total Loss: 1.2755978107452393
Iteration=4000, Total Loss: 0.9592490792274475
Iteration=4010, Total Loss: 0.7071926593780518
Iteration=4020, Total Loss: 0.7521915435791016
Iteration=4030, Total Loss: 0.675714910030365
Iteration=4040, Total Loss: 0.6636730432510376
Iteration=4050, Total Loss: 0.6430286169052124
Iteration=4060, Total Loss: 0.5809455513954163
Iteration=4070, Total Loss: 0.743065595626831
Iteration=4080, Total Loss: 0.7054673433303833
Iteration=4090, Total Loss: 0.7641533017158508
Iteration=4100, Total Loss: 0.6520498394966125
Iteration=4110, Total Loss: 0.6230911016464233
Iteration=4120, Total Loss: 0.7515076398849487
Iteration=4130, Total Loss: 0.6787056922912598
Iteration=4140, Total Loss: 0.5820044279098511
Iteration=4150, Total Loss: 0.6044023036956787
Iteration=4160, Total Loss: 0.6337098479270935
Iteration=4170, Total Loss: 0.6474098563194275
Iteration=4180, Total Loss: 0.6955229640007019
Iteration=4190, Total Loss: 0.680088222026825
Iteration=4200, Total Loss: 0.5632851123809814
Iteration=4210, Total Loss: 0.6220676302909851
Iteration=4220, Total Loss: 0.717914342880249
Iteration=4230, Total Loss: 0.6155073642730713
Iteration=4240, Total Loss: 0.66086345911026
Iteration=4250, Total Loss: 0.6768912076950073
Iteration=4260, Total Loss: 0.6639803647994995
Iteration=4270, Total Loss: 0.586460292339325
Iteration=4280, Total Loss: 0.6423629522323608
Iteration=4290, Total Loss: 0.5910911560058594
Iteration=4300, Total Loss: 0.6203579902648926
Iteration=4310, Total Loss: 0.6286726593971252
Iteration=4320, Total Loss: 0.7013909220695496
Iteration=4330, Total Loss: 0.6049060821533203
Iteration=4340, Total Loss: 0.6387145519256592
Iteration=4350, Total Loss: 0.6886357665061951
Iteration=4360, Total Loss: 0.6577527523040771
Iteration=4370, Total Loss: 0.7891123294830322
Iteration=4380, Total Loss: 0.6504623889923096
Iteration=4390, Total Loss: 0.6365327835083008
Iteration=4400, Total Loss: 0.6610934734344482
Iteration=4410, Total Loss: 0.6897512674331665
Iteration=4420, Total Loss: 0.7094311714172363
Iteration=4430, Total Loss: 0.7201037406921387
Iteration=4440, Total Loss: 0.7608311176300049
Iteration=4450, Total Loss: 0.6641790866851807
Iteration=4460, Total Loss: 0.6222761869430542
Iteration=4470, Total Loss: 0.6937280893325806
Iteration=4480, Total Loss: 0.6057702302932739
Iteration=4490, Total Loss: 0.658309280872345
Iteration=4500, Total Loss: 0.6004153490066528
Iteration=4510, Total Loss: 0.6272700428962708
Iteration=4520, Total Loss: 0.7065257430076599
Iteration=4530, Total Loss: 0.6343289613723755
Iteration=4540, Total Loss: 0.615879476070404
Iteration=4550, Total Loss: 0.5445534586906433
Iteration=4560, Total Loss: 0.61643385887146
Iteration=4570, Total Loss: 0.5658016204833984
Iteration=4580, Total Loss: 0.6745799779891968
Iteration=4590, Total Loss: 0.67784583568573
Iteration=4600, Total Loss: 0.6615351438522339
Iteration=4610, Total Loss: 0.6375987529754639
Iteration=4620, Total Loss: 0.7560144662857056
Iteration=4630, Total Loss: 0.6115661263465881
Iteration=4640, Total Loss: 0.6242111921310425
Iteration=4650, Total Loss: 0.674209475517273
Iteration=4660, Total Loss: 0.6773436069488525
Iteration=4670, Total Loss: 0.6016486883163452
Iteration=4680, Total Loss: 0.6368030309677124
Iteration=4690, Total Loss: 0.5970206260681152
Iteration=4700, Total Loss: 0.7099145650863647
Iteration=4710, Total Loss: 0.7048199772834778
Iteration=4720, Total Loss: 0.718000054359436
Iteration=4730, Total Loss: 0.6423938274383545
Iteration=4740, Total Loss: 0.6222018003463745
Iteration=4750, Total Loss: 0.5834028124809265
Iteration=4760, Total Loss: 0.565096914768219
Iteration=4770, Total Loss: 0.7949548363685608
Iteration=4780, Total Loss: 0.7491275668144226
Iteration=4790, Total Loss: 0.7080849409103394
Iteration=4800, Total Loss: 0.5865168571472168
Iteration=4810, Total Loss: 0.6412489414215088
Iteration=4820, Total Loss: 0.6306792497634888
Iteration=4830, Total Loss: 0.6423051357269287
Iteration=4840, Total Loss: 0.8103945255279541
Iteration=4850, Total Loss: 0.592334508895874
Iteration=4860, Total Loss: 0.6479140520095825
Iteration=4870, Total Loss: 0.6729737520217896
Iteration=4880, Total Loss: 0.743236780166626
Iteration=4890, Total Loss: 0.6365002393722534
Iteration=4900, Total Loss: 0.5821515321731567
Iteration=4910, Total Loss: 0.5736715793609619
Iteration=4920, Total Loss: 0.6782364249229431
Iteration=4930, Total Loss: 0.6808925867080688
Iteration=4940, Total Loss: 0.5732309818267822
Iteration=4950, Total Loss: 0.6552497148513794
Iteration=4960, Total Loss: 0.7126204967498779
Iteration=4970, Total Loss: 0.5864886045455933
Iteration=4980, Total Loss: 0.7780144214630127
Iteration=4990, Total Loss: 0.5519920587539673
Iteration=5000, Total Loss: 0.6732189655303955
Iteration=5010, Total Loss: 0.6488662362098694
Iteration=5020, Total Loss: 0.6011459231376648
Iteration=5030, Total Loss: 0.6065789461135864
Iteration=5040, Total Loss: 0.6105979681015015
Iteration=5050, Total Loss: 0.6231412291526794
Iteration=5060, Total Loss: 0.6575711965560913
Iteration=5070, Total Loss: 0.737244725227356
Iteration=5080, Total Loss: 0.5998514294624329
Iteration=5090, Total Loss: 0.658772349357605
Iteration=5100, Total Loss: 0.6759634017944336
Iteration=5110, Total Loss: 0.6226591467857361
Iteration=5120, Total Loss: 0.619065523147583
Iteration=5130, Total Loss: 0.6056228876113892
Iteration=5140, Total Loss: 0.7160712480545044
Iteration=5150, Total Loss: 0.6476891040802002
Iteration=5160, Total Loss: 0.6449066400527954
Iteration=5170, Total Loss: 0.6567557454109192
Iteration=5180, Total Loss: 0.6727900505065918
Iteration=5190, Total Loss: 0.6968708038330078
Iteration=5200, Total Loss: 0.6497465372085571
Iteration=5210, Total Loss: 0.564291775226593
Iteration=5220, Total Loss: 0.6040959358215332
Iteration=5230, Total Loss: 0.6207662224769592
Iteration=5240, Total Loss: 0.6386557817459106
Iteration=5250, Total Loss: 0.6430746912956238
Iteration=5260, Total Loss: 0.6285262107849121
Iteration=5270, Total Loss: 0.6820688247680664
Iteration=5280, Total Loss: 0.5664978623390198
Iteration=5290, Total Loss: 0.7113434672355652
Iteration=5300, Total Loss: 0.794158935546875
Iteration=5310, Total Loss: 0.5954673886299133
Iteration=5320, Total Loss: 0.5819486379623413
Iteration=5330, Total Loss: 0.5986605882644653
Iteration=5340, Total Loss: 0.5439344048500061
Iteration=5350, Total Loss: 0.6382619738578796
Iteration=5360, Total Loss: 0.730158269405365
Iteration=5370, Total Loss: 0.6225717663764954
Iteration=5380, Total Loss: 0.6583294868469238
Iteration=5390, Total Loss: 0.6800204515457153
Iteration=5400, Total Loss: 0.6676401495933533
Iteration=5410, Total Loss: 0.5701653361320496
Iteration=5420, Total Loss: 0.6192398071289062
Iteration=5430, Total Loss: 0.6579259634017944
Iteration=5440, Total Loss: 0.5770655870437622
Iteration=5450, Total Loss: 0.5629284381866455
Iteration=5460, Total Loss: 0.6423856019973755
Iteration=5470, Total Loss: 0.5168136954307556
Iteration=5480, Total Loss: 0.6128553152084351
Iteration=5490, Total Loss: 0.5750288367271423
Iteration=5500, Total Loss: 0.7152566313743591
Iteration=5510, Total Loss: 0.617660403251648
Iteration=5520, Total Loss: 0.5802831649780273
Iteration=5530, Total Loss: 0.6547691822052002
Iteration=5540, Total Loss: 0.6791578531265259
Iteration=5550, Total Loss: 0.6083011627197266
Iteration=5560, Total Loss: 0.5751972198486328
Iteration=5570, Total Loss: 0.627532958984375
Iteration=5580, Total Loss: 0.5698952674865723
Iteration=5590, Total Loss: 0.6070050597190857
Iteration=5600, Total Loss: 0.6325483322143555
Iteration=5610, Total Loss: 0.6476627588272095
Iteration=5620, Total Loss: 0.5674854516983032
Iteration=5630, Total Loss: 0.5547291040420532
Iteration=5640, Total Loss: 0.5929266810417175
Iteration=5650, Total Loss: 0.6797369718551636
Iteration=5660, Total Loss: 0.5499981641769409
Iteration=5670, Total Loss: 0.6636061072349548
Iteration=5680, Total Loss: 0.619541585445404
Iteration=5690, Total Loss: 0.6003274917602539
Iteration=5700, Total Loss: 0.7078033685684204
Iteration=5710, Total Loss: 0.6671135425567627
Iteration=5720, Total Loss: 0.5294489860534668
Iteration=5730, Total Loss: 0.637795627117157
Iteration=5740, Total Loss: 0.5881586074829102
Iteration=5750, Total Loss: 0.6684437990188599
Iteration=5760, Total Loss: 0.577381432056427
Iteration=5770, Total Loss: 0.682757556438446
Iteration=5780, Total Loss: 0.5708132982254028
Iteration=5790, Total Loss: 0.6572421193122864
Iteration=5800, Total Loss: 0.6217670440673828
Iteration=5810, Total Loss: 0.5897908210754395
Iteration=5820, Total Loss: 0.5906037092208862
Iteration=5830, Total Loss: 0.6610242128372192
Iteration=5840, Total Loss: 0.5852319002151489
Iteration=5850, Total Loss: 0.5905008316040039
Iteration=5860, Total Loss: 0.5933958292007446
Iteration=5870, Total Loss: 0.6772670149803162
Iteration=5880, Total Loss: 0.7112115621566772
Iteration=5890, Total Loss: 0.7286890745162964
Iteration=5900, Total Loss: 0.6099708080291748
Iteration=5910, Total Loss: 0.5559786558151245
Iteration=5920, Total Loss: 0.7550166249275208
Iteration=5930, Total Loss: 0.6512863636016846
Iteration=5940, Total Loss: 0.4795295000076294
Iteration=5950, Total Loss: 0.6491643190383911
Iteration=5960, Total Loss: 0.5121837854385376
